name,align,eye,hair,sex,year
Preak,Good Characters,Green Eyes,No Hair,Agender Characters,2006
Suzanne Chan,Good Characters,Brown Eyes,Black Hair,Female Characters,2006
Absynthe,Bad Characters,Green Eyes,Black Hair,Female Characters,2007
Ernst Erskine,Neutral Characters,Green Eyes,White Hair,Male Characters,2007
Hate-Monger,Bad Characters,Brown Eyes,Bald,Male Characters,2007
Jamal Peoples,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,2007
Nicole,Bad Characters,Blue Eyes,Brown Hair,Female Characters,2007
Oberon,Neutral Characters,Gold Eyes,Black Hair,Male Characters,2007
Red Ronin,Good Characters,Brown Eyes,Red Hair,Female Characters,2007
Steven Rogers,Good Characters,Blue Eyes,Blond Hair,Male Characters,2007
Tatiana Arocha,Good Characters,Brown Eyes,Black Hair,Female Characters,2007
Trenton Craft,Good Characters,Brown Eyes,Blond Hair,Male Characters,2007
Tristan,Good Characters,Blue Eyes,Bald,Male Characters,2007
Bendigeidfran,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2008
Clinton Barton,Bad Characters,Green Eyes,No Hair,Male Characters,2008
Doctor Tramma,Bad Characters,Blue Eyes,Black Hair,Female Characters,2008
Emma Frost,Bad Characters,Green Eyes,Blond Hair,Female Characters,2008
Ethan Warren,Bad Characters,Blue Eyes,Black Hair,Male Characters,2008
Jean Grey,Bad Characters,Green Eyes,Red Hair,Female Characters,2008
Lillie McGurty,Good Characters,Green Eyes,Grey Hair,Female Characters,2008
Luke Cage,Bad Characters,Green Eyes,No Hair,Male Characters,2008
Michael van Patrick,Bad Characters,White Eyes,Brown Hair,Male Characters,2008
Mister Eleven,Neutral Characters,Variable Eyes,Variable Hair,Male Characters,2008
Peter Parker,Bad Characters,Green Eyes,No Hair,Male Characters,2008
Simon Williams,Bad Characters,Green Eyes,No Hair,Male Characters,2008
Thor Odinson,Bad Characters,Green Eyes,Blond Hair,Male Characters,2008
Vision,Bad Characters,Green Eyes,No Hair,Male Characters,2008
Yuen Yee,Good Characters,Brown Eyes,Black Hair,Male Characters,2008
Ban-Luck,Good Characters,Black Eyes,Black Hair,Female Characters,2009
Charlie Chainsaw,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2009
Death Reaper,Bad Characters,Brown Eyes,Black Hair,Female Characters,2009
Marci Sabol,Neutral Characters,Brown Eyes,Blond Hair,Female Characters,2009
Master Po,Good Characters,Grey Eyes,White Hair,Male Characters,2009
Zzxz,Bad Characters,White Eyes,No Hair,Agender Characters,2009
Anti-Priest,Bad Characters,Black Eyes,Bald,Male Characters,2010
Broken Blade,Neutral Characters,Red Eyes,Black Hair,Female Characters,2010
Cecilia,Good Characters,Brown Eyes,Brown Hair,Female Characters,2010
Dennis Sykes,Good Characters,Brown Eyes,Brown Hair,Male Characters,2010
Loca,Bad Characters,Brown Eyes,Black Hair,Female Characters,2010
Teela Coldassian,Good Characters,Red Eyes,White Hair,Female Characters,2010
Uthana Thoth,Bad Characters,Yellow Eyes,White Hair,Male Characters,2010
Warhead,Bad Characters,Green Eyes,Green Hair,Male Characters,2010
William Grant Nelson,Neutral Characters,Green Eyes,Orange Hair,Male Characters,2010
Brady Briedel,Bad Characters,Green Eyes,No Hair,Male Characters,2011
Evolutionary,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2011
Orksa,Neutral Characters,White Eyes,No Hair,Female Characters,2011
Rhea,Neutral Characters,Brown Eyes,Black Hair,Female Characters,2011
Sun Wukong,Good Characters,Black Eyes,Bald,Male Characters,2011
Ultimate Nullifier,Good Characters,Blue Eyes,White Hair,Male Characters,2011
Uravo,Neutral Characters,Yellow Eyes,No Hair,Female Characters,2011
Borya Cich,Bad Characters,Blue Eyes,Bald,Male Characters,2012
Gabriel Shepherd,Good Characters,Blue Eyes,Brown Hair,Male Characters,2012
Mzee,Bad Characters,Yellow Eyes,No Hair,Male Characters,2012
Omega White,Bad Characters,White Eyes,No Hair,Male Characters,2012
Remlik,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2012
Tsar Sultan,Bad Characters,Black Eyes,Brown Hair,Male Characters,2012
Kazimierz Kazimierczak,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2013
Jim Taylor,Good Characters,Brown Eyes,Brown Hair,Male Characters,1940
Robert Foster,Good Characters,Blue Eyes,Red Hair,Male Characters,1940
Trojak,Good Characters,Brown Eyes,Brown Hair,Male Characters,1940
Otto von Schmittsder,Bad Characters,Brown Eyes,Bald,Male Characters,1951
Medusa,Bad Characters,Green Eyes,Green Hair,Female Characters,1953
Diane Cummings,Good Characters,Blue Eyes,Blond Hair,Female Characters,1961
Gargantus,Bad Characters,Yellow Eyes,No Hair,Male Characters,1961
Nina Tsiolkovsky,Bad Characters,Brown Eyes,Black Hair,Female Characters,1962
Tim Boo Ba,Bad Characters,Purple Eyes,Black Hair,Male Characters,1962
Carlo Strange,Bad Characters,Green Eyes,Brown Hair,Male Characters,1963
Dorian Murdstone,Bad Characters,Black Eyes,Black Hair,Male Characters,1963
Aggamon,Bad Characters,Green Eyes,No Hair,Male Characters,1964
Antonio Rojo,Bad Characters,Brown Eyes,Black Hair,Male Characters,1964
Franklin Storm,Good Characters,Blue Eyes,Grey Hair,Male Characters,1964
Harold Kane,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1964
Redford Raven,Bad Characters,Brown Eyes,Red Hair,Male Characters,1964
Robert McCoy,Good Characters,Blue Eyes,Grey Hair,Male Characters,1968
Andro,Bad Characters,Yellow Eyes,No Hair,Male Characters,1970
Durok,Bad Characters,Red Eyes,No Hair,Male Characters,1971
Mikas,Bad Characters,White Eyes,White Hair,Male Characters,1971
Kamorr,Good Characters,Black Eyes,Brown Hair,Male Characters,1972
Simon Gilbert,Bad Characters,Grey Eyes,Black Hair,Male Characters,1972
Cyrus Black,Bad Characters,Brown Eyes,Black Hair,Male Characters,1973
Nathaniel Omen,Bad Characters,Black Eyes,Bald,Male Characters,1973
Preyy,Bad Characters,Green Eyes,Yellow Hair,Male Characters,1973
King Cadaver,Bad Characters,White Eyes,Green Hair,Male Characters,1974
Tara,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1974
Drom,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1975
Helleyes,Bad Characters,Variable Eyes,No Hair,Male Characters,1975
Jamal Afari,Good Characters,Brown Eyes,Black Hair,Male Characters,1975
Vraniel,Good Characters,Blue Eyes,Blond Hair,Male Characters,1975
William Young,Bad Characters,Brown Eyes,Black Hair,Male Characters,1975
Eric Brooks,Bad Characters,Brown Eyes,Black Hair,Male Characters,1976
He Who Remains,Neutral Characters,Black Eyes,No Hair,Male Characters,1976
Mindy Williams,Good Characters,Blue Eyes,Blond Hair,Female Characters,1976
Mortimer Norris,Bad Characters,Black Eyes,Black Hair,Male Characters,1976
Pro-Rata,Bad Characters,Blue Eyes,White Hair,Male Characters,1976
Jonathan Rich,Neutral Characters,Green Eyes,Black Hair,Male Characters,1977
Manticore,Bad Characters,Red Eyes,Brown Hair,Male Characters,1977
Wendy Hunt,Good Characters,Blue Eyes,White Hair,Female Characters,1977
Joseph Danvers Sr.,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1978
Marie Danvers,Neutral Characters,Blue Eyes,Grey Hair,Female Characters,1978
Vera Gemini,Bad Characters,Red Eyes,No Hair,Female Characters,1978
Jaime Garcia,Bad Characters,Brown Eyes,Black Hair,Male Characters,1979
Priscilla Ironwood,Good Characters,Blue Eyes,Blond Hair,Female Characters,1979
Torgo Nia,Bad Characters,Red Eyes,Red Hair,Male Characters,1979
Vampiro,Good Characters,White Eyes,Black Hair,Male Characters,1979
Barbara Bannister,Good Characters,Blue Eyes,Red Hair,Female Characters,1980
Eric Cameron,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1980
Rachel Sweet,Bad Characters,Blue Eyes,Black Hair,Female Characters,1980
Grappler,Bad Characters,Black Eyes,Black Hair,Male Characters,1981
Sadie Frickett,Neutral Characters,Blue Eyes,Red Hair,Female Characters,1981
Alban Emond,Bad Characters,Brown Eyes,White Hair,Male Characters,1982
Brenda Barclay,Good Characters,Brown Eyes,Black Hair,Female Characters,1982
Freya,Good Characters,Green Eyes,Blond Hair,Female Characters,1982
Jack Dulouz,Bad Characters,White Eyes,Black Hair,Male Characters,1982
Jonathan Logan,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1982
Angela Tortelli,Good Characters,Blue Eyes,Black Hair,Female Characters,1983
Mary Brown,Bad Characters,Green Eyes,Brown Hair,Female Characters,1984
Ashake,Good Characters,Blue Eyes,White Hair,Female Characters,1985
Cataphrax,Bad Characters,Red Eyes,No Hair,Male Characters,1985
Susan Banner,Good Characters,Green Eyes,Black Hair,Female Characters,1985
Theron Atlanta,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1985
Alvin Healey,Bad Characters,Green Eyes,Brown Hair,Male Characters,1986
Hiram Riddley,Good Characters,Grey Eyes,Blond Hair,Male Characters,1986
Illich Lavrov,Good Characters,Yellow Eyes,Blond Hair,Male Characters,1986
Timeshadow,Bad Characters,Brown Eyes,Black Hair,Male Characters,1986
Bertram Hindel,Bad Characters,Brown Eyes,Black Hair,Male Characters,1987
Eros,Good Characters,Blue Eyes,Blond Hair,Male Characters,1987
Farouk Al-Fasaud,Bad Characters,Black Eyes,Black Hair,Male Characters,1987
Nathan Tyler,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1987
Gailyn Bailey,Good Characters,Green Eyes,Red Hair,Female Characters,1988
Joseph Bailey,Good Characters,Green Eyes,Red Hair,Male Characters,1988
Sally Fortune,Good Characters,Black Eyes,Red Hair,Female Characters,1988
Arthur Bigelow,Bad Characters,Blue Eyes,Black Hair,Male Characters,1989
Rex Randolph,Neutral Characters,Green Eyes,Blond Hair,Male Characters,1989
John Cereus,Bad Characters,Brown Eyes,Green Hair,Male Characters,1990
Dorma,Neutral Characters,Blue Eyes,Auburn Hair,Female Characters,1991
Carter Ryking,Neutral Characters,Green Eyes,Brown Hair,Male Characters,1992
Louis Sadler Sr.,Good Characters,Brown Eyes,Grey Hair,Male Characters,1992
Magpie,Bad Characters,Brown Eyes,Blond Hair,Male Characters,1992
Micheal Hamilton,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1992
Pico Halfghanaghan,Bad Characters,Red Eyes,White Hair,Male Characters,1992
Scuzz,Bad Characters,Red Eyes,Blond Hair,Male Characters,1992
Ssith,Bad Characters,Red Eyes,No Hair,Male Characters,1992
Tanuta Umbotha,Bad Characters,Blue Eyes,Bald,Female Characters,1992
Victor Sternwood,Bad Characters,Brown Eyes,Black Hair,Male Characters,1992
Wildrun,Bad Characters,Black Eyes,Black Hair,Male Characters,1992
Annie Jones,Good Characters,Green Eyes,Red Hair,Female Characters,1993
Carlos deSilva,Good Characters,Black Eyes,Black Hair,Male Characters,1993
Gulliver Jones,Good Characters,Brown Eyes,Brown Hair,Male Characters,1993
Marc Devlin,Good Characters,Red Eyes,Bald,Male Characters,1993
Metarchus,Bad Characters,Red Eyes,Red Hair,Female Characters,1993
Shaka,Good Characters,Brown Eyes,Black Hair,Male Characters,1993
General Obsidian,Bad Characters,Black Eyes,No Hair,Male Characters,1994
Jamil,Bad Characters,Black Eyes,Black Hair,Male Characters,1994
Louis Dexter,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1994
Malachi,Bad Characters,White Eyes,Black Hair,Female Characters,1994
Psiphon,Bad Characters,Red Eyes,No Hair,Male Characters,1994
Sea Leopard,Bad Characters,Black Eyes,Bald,Male Characters,1994
Spoiler,Bad Characters,Green Eyes,Blond Hair,Male Characters,1994
Alexander Patel,Good Characters,Black Eyes,Black Hair,Male Characters,1995
Ever,Bad Characters,Red Eyes,No Hair,Male Characters,1995
Rex,Bad Characters,Brown Eyes,Black Hair,Male Characters,1995
Tuc,Bad Characters,Red Eyes,Blond Hair,Male Characters,1995
Emma Steed,Bad Characters,Brown Eyes,Black Hair,Female Characters,1996
Jane Hampshire,Bad Characters,Red Eyes,Pink Hair,Female Characters,1996
Jennifer Walters,Good Characters,Green Eyes,Brown Hair,Female Characters,1996
Luz Santos,Good Characters,Brown Eyes,Brown Hair,Female Characters,1996
Sinjin Quarrel,Good Characters,Gold Eyes,Black Hair,Male Characters,1996
Anielle,Good Characters,Blue Eyes,Blond Hair,Female Characters,1997
Isabel Ferguson,Good Characters,Blue Eyes,Black Hair,Female Characters,1997
Bianca LaNeige,Bad Characters,Red Eyes,Purple Hair,Female Characters,1998
Devlin DeAngelo,Bad Characters,Brown Eyes,Black Hair,Male Characters,1998
Gadriel,Good Characters,Blue Eyes,Blond Hair,Male Characters,1998
Lawrence Young,Good Characters,Blue Eyes,Black Hair,Male Characters,1998
M-Plate,Bad Characters,Red Eyes,Black Hair,Female Characters,1998
Rafe Scanlon,Bad Characters,Brown Eyes,Bald,Male Characters,1998
Sorrow,Good Characters,White Eyes,White Hair,Female Characters,1998
Ulysses Dragonblood,Good Characters,White Eyes,Bald,Male Characters,1998
Zawadi,Good Characters,Brown Eyes,Black Hair,Female Characters,1998
Chi-Chee,Good Characters,Black Eyes,Brown Hair,Male Characters,1999
Elizabeth Bliss,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1999
Gianna Esperanza,Bad Characters,Blue Eyes,Brown Hair,Female Characters,1999
Marcus Andrews,Bad Characters,Brown Eyes,Black Hair,Male Characters,1999
Nicolette Giroux,Bad Characters,Blue Eyes,Brown Hair,Female Characters,1999
Walter Thorson,Good Characters,Blue Eyes,Red Hair,Male Characters,1999
White Wolf,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1999
Billy Turner,Good Characters,Blue Eyes,Blond Hair,Male Characters,2000
Darin II,Good Characters,Green Eyes,Green Hair,Male Characters,2000
Jacques LeBeau,Neutral Characters,Blue Eyes,White Hair,Male Characters,2000
Patrick Carney,Good Characters,Blue Eyes,Brown Hair,Male Characters,2000
Big Mother,Bad Characters,Yellow Eyes,No Hair,Female Characters,2001
Christopher Cassera,Neutral Characters,Blue Eyes,Black Hair,Male Characters,2001
Irina Clayton,Good Characters,Blue Eyes,Brown Hair,Female Characters,2001
Lupa,Bad Characters,Yellow Eyeballs,Black Hair,Female Characters,2001
Mister Howlett,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,2001
Thaiis,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2001
Una-Rogg,Bad Characters,Yellow Eyes,Black Hair,Female Characters,2001
Ardina,Good Characters,White Eyes,Orange Hair,Female Characters,2002
Atleza Langunn,Good Characters,Brown Eyes,Brown Hair,Female Characters,2002
Cesar Belinski,Good Characters,Green Eyes,Grey Hair,Male Characters,2002
Cosmo,Neutral Characters,Black Eyes,Grey Hair,Male Characters,2002
Couleur,Good Characters,Green Eyes,Grey Hair,Male Characters,2002
Kwate,Good Characters,Green Eyes,Grey Hair,Male Characters,2002
Madam Rapier,Bad Characters,Black Eyes,Black Hair,Female Characters,2002
Marduk,Bad Characters,Blue Eyes,Black Hair,Male Characters,2002
Percival,Good Characters,Green Eyes,Grey Hair,Male Characters,2002
Rosa Belinski,Good Characters,Green Eyes,Grey Hair,Male Characters,2002
Tomothy,Good Characters,Green Eyes,Blond Hair,Male Characters,2002
Flores,Bad Characters,Brown Eyes,Black Hair,Male Characters,2003
Rose Delany,Neutral Characters,Green Eyes,Blond Hair,Female Characters,2003
Sarah Gail Bradley,Good Characters,Brown Eyes,Black Hair,Female Characters,2003
Astrid Bloom,Bad Characters,Brown Eyes,Black Hair,Female Characters,2004
Helena Carlson,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2004
Morwen,Bad Characters,Blue Eyes,Black Hair,Female Characters,2004
Raymond Jr.,Good Characters,Brown Eyes,Black Hair,Male Characters,2004
Sofia Corazon,Good Characters,Brown Eyes,Brown Hair,Female Characters,2004
Elena,Neutral Characters,White Eyes,Blond Hair,Female Characters,2005
Grigory Efimovich Rasputin,Bad Characters,Black Eyes,Black Hair,Male Characters,2005
Jemima Catmint,Good Characters,Brown Eyes,Black Hair,Female Characters,2005
Kioshi Keishicho,Good Characters,Brown Eyes,No Hair,Male Characters,2005
Larisa Mishchenko,Neutral Characters,Blue Eyes,Black Hair,Female Characters,2005
Lumina,Good Characters,Brown Eyes,Black Hair,Female Characters,2005
Mavis Benally,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,2005
Mutant Baboon,Bad Characters,Black Eyes,Brown Hair,Male Characters,2005
Sarah Vale,Good Characters,Brown Eyes,Black Hair,Female Characters,2005
Aguja,Bad Characters,Green Eyes,Blond Hair,Female Characters,2006
Archibald Hunt,Bad Characters,Brown Eyes,Grey Hair,Male Characters,2006
Eugene Sykes,Good Characters,Brown Eyes,Brown Hair,Male Characters,2006
Ghoul,Bad Characters,White Eyes,Bald,Male Characters,2006
Hector Espejo,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2006
Janus,Bad Characters,Blue Eyes,Black Hair,Male Characters,2006
Jeff Knudsen,Neutral Characters,Brown Eyes,Grey Hair,Male Characters,2006
Valerie Martin,Good Characters,Brown Eyes,Black Hair,Female Characters,2006
Aghanne,Bad Characters,Green Eyes,Brown Hair,Female Characters,2007
Althea Green,Good Characters,Black Eyes,Brown Hair,Female Characters,2007
Arthur Woodman,Bad Characters,Brown Eyes,Black Hair,Male Characters,2007
Brian Talbot,Neutral Characters,Grey Eyes,Black Hair,Male Characters,2007
Death Tiger,Bad Characters,Brown Eyes,Black Hair,Male Characters,2007
Emmael,Good Characters,Blue Eyes,Blond Hair,Male Characters,2007
Gideon Wilson,Neutral Characters,Brown Eyes,Bald,Male Characters,2007
Krakos,Bad Characters,Blue Eyes,Bald,Male Characters,2007
Mindwave,Neutral Characters,Grey Eyes,White Hair,Male Characters,2007
Nichole Martin,Neutral Characters,Green Eyes,Red Hair,Female Characters,2007
Sihing,Good Characters,Black Eyes,Black Hair,Male Characters,2007
Susan Maddox,Neutral Characters,Brown Eyes,Black Hair,Female Characters,2007
Carol Danvers,Bad Characters,Green Eyes,Blond Hair,Female Characters,2008
Criti Noll,Bad Characters,Green Eyes,No Hair,Female Characters,2008
DaVanti,Bad Characters,Grey Eyes,Blond Hair,Male Characters,2008
DeHalle,Bad Characters,Grey Eyes,White Hair,Female Characters,2008
Jakob Eisenhardt,Good Characters,Brown Eyes,White Hair,Male Characters,2008
James Howlett,Bad Characters,Green Eyes,No Hair,Male Characters,2008
Jebediah Young,Bad Characters,Brown Eyes,Bald,Male Characters,2008
Jessica Jones,Bad Characters,Green Eyes,No Hair,Female Characters,2008
Jonathan Bryant,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,2008
Melanie Crane,Good Characters,Brown Eyes,Brown Hair,Female Characters,2008
Nogor,Bad Characters,Red Eyes,No Hair,Male Characters,2008
Phaedra,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2008
Siri,Bad Characters,Green Eyes,Black Hair,Female Characters,2008
Susan Storm,Bad Characters,Green Eyes,Blond Hair,Male Characters,2008
Taylor,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2008
VaRikk,Bad Characters,Green Eyes,Red Hair,Male Characters,2008
Yussuf Hussain,Good Characters,Brown Eyes,Black Hair,Male Characters,2008
Erin Cicero,Bad Characters,Red Eyes,Auburn Hair,Female Characters,2009
Shep Gunderson,Bad Characters,Blue Eyes,Brown Hair,Male Characters,2009
Abbey Sykes,Neutral Characters,Brown Eyes,Black Hair,Female Characters,2010
Bhakti Gavaskar,Good Characters,Brown Eyes,Black Hair,Female Characters,2010
Dragon,Bad Characters,Brown Eyes,Bald,Male Characters,2010
Eldrac,Good Characters,Blue Eyes,No Hair,Male Characters,2010
Jentorra,Good Characters,Green Eyes,Blond Hair,Female Characters,2010
London,Good Characters,Blue Eyes,Grey Hair,Female Characters,2010
Miranda Bayer,Good Characters,Purple Eyes,Purple Hair,Female Characters,2010
Noelle Blanc,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2010
Rav Gavaskar,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2010
Reena Stancioff,Good Characters,Blue Eyes,Blond Hair,Female Characters,2010
Sylvius,Bad Characters,Green Eyes,Red Hair,Female Characters,2010
Timothy,Bad Characters,Blue Eyes,Black Hair,Male Characters,2010
Carl Rives,Bad Characters,Black Eyes,White Hair,Male Characters,2011
Dennis Piper,Good Characters,Blue Eyes,Black Hair,Male Characters,2011
General,Bad Characters,Red Eyes,Grey Hair,Male Characters,2011
Georgios Panayiotou,Good Characters,Blue Eyes,Black Hair,Male Characters,2011
Jill Harper,Good Characters,Blue Eyes,Blond Hair,Female Characters,2011
Marcus Lyman,Bad Characters,Green Eyes,Bald,Male Characters,2011
Marvel Girl,Neutral Characters,Blue Eyes,Red Hair,Female Characters,2011
Penny Newsom,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,2011
Pryor Cashman,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2011
Soapbox,Good Characters,Blue Eyes,Blond Hair,Male Characters,2011
Styx,Bad Characters,Red Eyes,Bald,Male Characters,2011
Bomb,Good Characters,Brown Eyes,Black Hair,Male Characters,2012
Christine Chen,Good Characters,Brown Eyes,Black Hair,Female Characters,2012
Gari Oyle,Bad Characters,Yellow Eyes,Brown Hair,Female Characters,2012
Holly Bright,Good Characters,Blue Eyes,Brown Hair,Female Characters,2012
Honest John,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2012
Smithy,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2012
Zoe Walsh,Bad Characters,Brown Eyes,Black Hair,Female Characters,2012
Dangerous Jinn,Bad Characters,White Eyes,No Hair,Male Characters,2013
Eleanor Bennett,Good Characters,Blue Eyes,Blond Hair,Female Characters,2013
Mondo,Bad Characters,White Eyes,Bald,Female Characters,2013
Santi Sardina,Good Characters,Green Eyes,Black Hair,Male Characters,2013
Teslav Tarasova,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,2013
Titus,Bad Characters,Yellow Eyes,No Hair,Male Characters,2013
Allan Lewis,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Benjamin Ruff,Good Characters,Blue Eyes,Red Hair,Male Characters,1940
Bruce Bravelle,Good Characters,Brown Eyes,Brown Hair,Male Characters,1940
Khufor,Bad Characters,Blue Eyes,No Hair,Male Characters,1940
Martin Simon Burns,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Muro,Bad Characters,Black Eyes,Black Hair,Male Characters,1940
Varen David,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Zara of the Jungle,Good Characters,Blue Eyes,Black Hair,Female Characters,1940
Zephyrus Jones,Good Characters,Green Eyes,Auburn Hair,Male Characters,1940
Demon,Bad Characters,Red Eyes,Black Hair,Male Characters,1941
Lord of Death,Bad Characters,Black Eyes,White Hair,Male Characters,1941
Pascal Horta,Bad Characters,Brown Eyes,Black Hair,Male Characters,1941
Ivan Kronov,Bad Characters,Yellow Eyes,Green Hair,Male Characters,1954
Timothy Jones,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,1960
Gerald Marsh,Bad Characters,Brown Eyes,White Hair,Male Characters,1962
Kulla,Bad Characters,Blue Eyes,Black Hair,Male Characters,1963
Ape,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1964
Colossus,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1964
Lee Portman,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1964
Morrat,Bad Characters,Green Eyes,No Hair,Male Characters,1964
Zota of Pergamum,Bad Characters,Brown Eyes,Bald,Male Characters,1964
Frank Smith,Bad Characters,Blue Eyes,Black Hair,Male Characters,1965
General Wo,Bad Characters,Black Eyes,Black Hair,Male Characters,1965
Kukulkan,Bad Characters,Variable Eyes,Variable Hair,Male Characters,1966
Tazza,Bad Characters,Yellow Eyes,Black Hair,Male Characters,1966
Jinni,Bad Characters,Red Eyes,Black Hair,Male Characters,1967
Ultrana,Bad Characters,Green Eyes,White Hair,Female Characters,1967
Jonathan East,Bad Characters,Hazel Eyes,White Hair,Male Characters,1968
Dan Dunn,Bad Characters,Black Eyes,Blond Hair,Male Characters,1970
Toru Tarakoto,Bad Characters,Brown Eyes,Black Hair,Male Characters,1970
Godfried Herter,Bad Characters,Brown Eyes,Grey Hair,Male Characters,1971
Black Mariah,Bad Characters,Brown Eyes,Black Hair,Female Characters,1973
Ludi,Bad Characters,White Eyes,Grey Hair,Male Characters,1973
Mongu,Bad Characters,Red Eyes,Brown Hair,Male Characters,1973
Nimrod,Bad Characters,Red Eyes,Black Hair,Male Characters,1973
Ramon Garcia,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1973
Ree-Zee,Bad Characters,Red Eyes,No Hair,Male Characters,1973
Thomas Thunderhead,Good Characters,Black Eyes,Black Hair,Male Characters,1973
Virago,Bad Characters,Orange Eyes,Green Hair,Female Characters,1973
Zartra,Good Characters,Blue Eyes,Auburn Hair,Female Characters,1973
Cornell Cottonmouth,Bad Characters,Black Eyes,Bald,Male Characters,1974
Loc Do,Bad Characters,Grey Eyes,Black Hair,Male Characters,1974
Maxwell Plumm,Bad Characters,Black Eyes,Brown Hair,Male Characters,1974
Papa Shorty,Bad Characters,Brown Eyes,Black Hair,Male Characters,1974
Rachel Dandridge,Neutral Characters,Black Eyes,Black Hair,Female Characters,1974
Victoria Wingate Hellstrom,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,1974
William Roberts,Bad Characters,Brown Eyes,Black Hair,Male Characters,1974
Dorrek,Neutral Characters,Green Eyes,No Hair,Male Characters,1975
Garko,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1975
Kirov Petrovna,Bad Characters,Blue Eyes,Black Hair,Male Characters,1975
Musenda,Good Characters,Brown Eyes,Black Hair,Male Characters,1975
Nick Lewis Jr.,Bad Characters,Brown Eyes,Black Hair,Male Characters,1975
Scrounger,Neutral Characters,Black Eyes,Black Hair,Male Characters,1976
Slitherogue,Bad Characters,Grey Eyes,Black Hair,Male Characters,1976
Abel Stack,Good Characters,Blue Eyes,Brown Hair,Male Characters,1977
Burgundy,Good Characters,Brown Eyes,Black Hair,Female Characters,1977
Zirksu,Bad Characters,Green Eyes,No Hair,Male Characters,1977
Jason Beere,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1978
Kogar,Bad Characters,Brown Eyes,Black Hair,Male Characters,1978
Phillip Garcia,Bad Characters,Brown Eyes,Black Hair,Male Characters,1978
William Evans Jr.,Good Characters,Brown Eyes,Black Hair,Male Characters,1979
Azaziah,Bad Characters,Blue Eyes,White Hair,Male Characters,1980
Dominic Tyrone,Bad Characters,Blue Eyes,Black Hair,Male Characters,1980
Hestia,Good Characters,Blue Eyes,Blond Hair,Female Characters,1980
Narda Ravanna,Bad Characters,Blue Eyes,Brown Hair,Female Characters,1980
Shialmar,Bad Characters,Brown Eyes,Black Hair,Female Characters,1980
Sylvester Marston,Bad Characters,Blue Eyes,Black Hair,Male Characters,1980
Leanne,Good Characters,Brown Eyes,Brown Hair,Female Characters,1981
Shade,Bad Characters,Brown Eyes,Black Hair,Male Characters,1981
Georgianna Castleberry,Good Characters,Brown Eyes,Black Hair,Female Characters,1982
Nimrod Strange,Bad Characters,Brown Eyes,Black Hair,Male Characters,1982
Noburu-Hideki,Bad Characters,Black Eyes,Black Hair,Male Characters,1982
Petunia Grimm,Good Characters,Blue Eyes,Black Hair,Female Characters,1982
Ramsey Kole,Bad Characters,Brown Eyes,Black Hair,Male Characters,1982
Shango,Good Characters,Brown Eyes,Black Hair,Male Characters,1982
Simon Marshall,Bad Characters,Brown Eyes,Blond Hair,Male Characters,1982
Axe,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1983
Daniel Grimm Jr.,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1983
